Extraction sheet name,Data file (doi),LSR no.,Extraction sheet dimension,Variable to extract,Understandable label for database,Class ID,Class  label,Class definition,Parent class,Ontology spreadsheet,Organised under,COMBO or not?,COMBO
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_scale,Followup anxiety scale,GMHO:0000202,anxiety scale,A measurement scale that is used to measure anxiety symptom severity.,measurement scale,Intervention outcomes and spillover effects,"GMHO:0000143,GMHO:0000204",COMBO,"GMHO:0000202,GMHO:0000205"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_mean,Mean baseline anxiety,GMHO:0000143,anxiety symptom severity,Symptom severity that is associated with an anxiety symptom.,symptom severity,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000143,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_n,Number of participants for whom baseline anxiety was measured,GMHO:0000143,anxiety symptom severity,Symptom severity that is associated with an anxiety symptom.,symptom severity,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000143,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_sd,Standard deviation of baseline anxiety,GMHO:0000143,anxiety symptom severity,Symptom severity that is associated with an anxiety symptom.,symptom severity,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000143,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_mean,Mean followup anxiety,GMHO:0000143,anxiety symptom severity,Symptom severity that is associated with an anxiety symptom.,symptom severity,Intervention outcomes and spillover effects,GMHO:0000087,COMBO,"GMHO:0000143,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_n,Number of participants for whom followup anxiety was measured,GMHO:0000143,anxiety symptom severity,Symptom severity that is associated with an anxiety symptom.,symptom severity,Intervention outcomes and spillover effects,GMHO:0000087,COMBO,"GMHO:0000143,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_sd,Standard deviation of followup anxiety,GMHO:0000143,anxiety symptom severity,Symptom severity that is associated with an anxiety symptom.,symptom severity,Intervention outcomes and spillover effects,GMHO:0000087,COMBO,"GMHO:0000143,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_time,Timepoint of followup anxiety measurement (weeks),GMHO:0000143,anxiety symptom severity,Symptom severity that is associated with an anxiety symptom.,symptom severity,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_type,Followup anxiety data type,GMHO:0000143,anxiety symptom severity,Symptom severity that is associated with an anxiety symptom.,symptom severity,Intervention outcomes and spillover effects,GMHO:0000087,COMBO,"GMHO:0000143,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_mean,Mean baseline anhedonia,OBI:0000679,average value,A data item that is produced as the output of an averaging data transformation and represents the average value of the input data.,data item,Intervention population,"GMHO:0000131,GMHO:0000209",No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_mean,Mean followup anhedonia,OBI:0000679,average value,A data item that is produced as the output of an averaging data transformation and represents the average value of the input data.,data item,Intervention outcomes and spillover effects,"GMHO:0000131,GMHO:0000204",No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_mean,Mean baseline anxiety,OBI:0000679,average value,A data item that is produced as the output of an averaging data transformation and represents the average value of the input data.,data item,Intervention population,"GMHO:0000143,GMHO:0000209",No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_mean,Mean followup anxiety,OBI:0000679,average value,A data item that is produced as the output of an averaging data transformation and represents the average value of the input data.,data item,Intervention outcomes and spillover effects,"GMHO:0000143,GMHO:0000204",No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,dose_delivered_mean,Mean drug dose delivered,OBI:0000679,average value,A data item that is produced as the output of an averaging data transformation and represents the average value of the input data.,data item,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,reward_baseline_mean,Mean baseline reward sensitivity,OBI:0000679,average value,A data item that is produced as the output of an averaging data transformation and represents the average value of the input data.,data item,Intervention population,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,reward_followup_mean,Mean followup reward sensitivity,OBI:0000679,average value,A data item that is produced as the output of an averaging data transformation and represents the average value of the input data.,data item,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,r_acceptability,Acceptability of intervention,GMHO:0000054,belief about intervention acceptability,A belief about whether the delivered intervention is appropriate based on anticipated or experienced responses to the intervention.,belief,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,r_tolerability,Tolerability of intervention,GMHO:0000055,belief about tolerability of drug,A belief about the degree to which a drug results in unpleasant or bothersome bodily reactions.,belief about drug-related adverse events,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,constipation,Constipation,GMHO:0000178,digestive system adverse event following intervention,An adverse event following an intervention that occurs in the digestive system.,adverse event following an intervention,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,dizziness,Dizziness,GMHO:0000179,dizziness following intervention,An adverse event following an intervention that involves experiencing dizziness.,adverse event following an intervention,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,dose_delivered_max,Maximum drug dose delivered,GMHO:0000001,dose of pharmacological substance,Dose of pharmacological substance delivered to an individual.,dose,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,dose_delivered_mean,Mean drug dose delivered,GMHO:0000001,dose of pharmacological substance,Dose of pharmacological substance delivered to an individual.,dose,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,dose_delivered_min,Minimum drug dose delivered,GMHO:0000001,dose of pharmacological substance,Dose of pharmacological substance delivered to an individual.,dose,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,treatment,Treatment,GMHO:0000002,drug name,A written name intended to identify a particular drug. ,written name,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,dry_mouth,Dry mouth,GMHO:0000180,dry mouth following intervention,A digestive system adverse event following intervention that involves experiencing dry mouth.,digestive system adverse event following intervention,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_time,Timepoint of followup anhedonia measurement (weeks),GMHO:0000210,duration between baseline and followup measurement,A temporal interval between the time of data collection for pre-intervention data and followup data in a study.,one-dimensional temporal region,Research methods,"GMHO:0000131,GMHO:0000204",COMBO,"GMHO:0000131,GMHO:0000210"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_time,Timepoint of followup anxiety measurement (weeks),GMHO:0000210,duration between baseline and followup measurement,A temporal interval between the time of data collection for pre-intervention data and followup data in a study.,one-dimensional temporal region,Research methods,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,reward_followup_time,Timepoint of followup reward sensitivity measurement (weeks),GMHO:0000210,duration between baseline and followup measurement,A temporal interval between the time of data collection for pre-intervention data and followup data in a study.,one-dimensional temporal region,Research methods,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,headache,Headache,GMHO:0000181,headache following intervention,A pain following intervention that has an outcome of headache.,pain following intervention,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_type,Data type: endpoint vs. baseline difference in anhedonia symptom severity,GMHO:0000203,information on available followup data,An information content entity about the followup data available for a study.,information content entity,Intervention outcomes and spillover effects,"GMHO:0000131,GMHO:0000204",No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_type,Followup anxiety data type,GMHO:0000203,information on available followup data,An information content entity about the followup data available for a study.,information content entity,Intervention outcomes and spillover effects,"GMHO:0000143,GMHO:0000204",No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,reward_followup_type,Followup reward sensitivity data type,GMHO:0000203,information on available followup data,An information content entity about the followup data available for a study.,information content entity,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,insomnia,Insomnia,GMHO:0000182,insomnia following intervention,An adverse event following an intervention in which there is an inability to fall asleep or to stay asleep as long as desired.,adverse event following an intervention,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,arm,Intervention arm,GMHO:0000123,intervention arm,A study arm that is subject to evaluation in an intervention evaluation study.,study arm,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,treatment_details,Treatment details,GMHO:0000002,drug name,A written name intended to identify a particular drug. ,written name,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,tx_duration,Intervention duration,GMHO:0000005,intervention duration,A temporal interval between the start and end of an intervention.,one-dimensional temporal region,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,dose_delivered_max,Maximum drug dose delivered,STATO:0000151,maximum value,A data item which denotes the largest value found in a dataset or resulting from a calculation.,statistic,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,dose_planned_max,Maximum planned drug dose,STATO:0000151,maximum value,A data item which denotes the largest value found in a dataset or resulting from a calculation.,statistic,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,age_mean,Mean age,BCIO:015416,mean human age population statistic,The mean of human age in a population.,human age population statistic,Intervention population,Population,No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_mean,Mean baseline anhedonia,GMHO:0000209,measurement datum at baseline,Measurement datum that was recorded as baseline data in a study.,measurement datum,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000131,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_n,Number of participants for whom baseline anhedonia was measured,GMHO:0000209,measurement datum at baseline,Measurement datum that was recorded as baseline data in a study.,measurement datum,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000131,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_sd,Standard deviation of baseline anhedonia,GMHO:0000209,measurement datum at baseline,Measurement datum that was recorded as baseline data in a study.,measurement datum,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000131,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_mean,Mean baseline anxiety,GMHO:0000209,measurement datum at baseline,Measurement datum that was recorded as baseline data in a study.,measurement datum,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000143,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_n,Number of participants for whom baseline anxiety was measured,GMHO:0000209,measurement datum at baseline,Measurement datum that was recorded as baseline data in a study.,measurement datum,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000143,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_scale,Baseline anxiety scale,GMHO:0000212,measurement scale at baseline,A measurement scale used to measure baseline data in a study.,measurement scale,Intervention population,"GMHO:0000143,GMHO:0000209",COMBO,"GMHO:0000202,GMHO:0000212"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_sd,Standard deviation of baseline anxiety,GMHO:0000209,measurement datum at baseline,Measurement datum that was recorded as baseline data in a study.,measurement datum,Intervention population,GMHO:0000087 (Population),COMBO,"GMHO:0000143,GMHO:0000209"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,reward_baseline_mean,Mean baseline reward sensitivity,GMHO:0000209,measurement datum at baseline,Measurement datum that was recorded as baseline data in a study.,measurement datum,Intervention population,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,reward_baseline_n,Number of participants for whom baseline reward sensitivity was measured,GMHO:0000209,measurement datum at baseline,Measurement datum that was recorded as baseline data in a study.,measurement datum,Intervention population,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,reward_baseline_sd,Standard deviation of baseline reward sensitivity,GMHO:0000209,measurement datum at baseline,Measurement datum that was recorded as baseline data in a study.,measurement datum,Intervention population,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_mean,Mean followup anhedonia,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,GMHO:0000087 (Outcome),COMBO,"GMHO:0000131,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_n,Number of participants for whom followup anhedonia was measured,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,GMHO:0000087 (Outcome),COMBO,"GMHO:0000131,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_sd,Standard deviation of followup anhedonia,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,GMHO:0000087 (Outcome),COMBO,"GMHO:0000131,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_type,Data type: endpoint vs. baseline difference in anhedonia symptom severity,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,GMHO:0000087 (Outcome),COMBO,"GMHO:0000131,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_mean,Mean followup anxiety,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,GMHO:0000087,COMBO,"GMHO:0000143,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_n,Number of participants for whom followup anxiety was measured,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,GMHO:0000087,COMBO,"GMHO:0000143,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_sd,Standard deviation of followup anxiety,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,GMHO:0000087,COMBO,"GMHO:0000143,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_type,Followup anxiety data type,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,GMHO:0000087,COMBO,"GMHO:0000143,GMHO:0000204"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,reward_followup_mean,Mean followup reward sensitivity,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,reward_followup_n,Number of participants for whom followup reward sensitivity was measured,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,reward_followup_sd,Standard deviation of followup reward sensitivity,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,reward_followup_type,Followup reward sensitivity data type,GMHO:0000204,measurement datum at followup,Measurement datum that was recorded as followup data in a study.,measurement datum,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_direction,Baseline anhedonia scale directionality,GMHO:0000212,measurement scale at baseline,A measurement scale used to measure baseline data in a study.,measurement scale,Intervention population,"GMHO:0000131,GMHO:0000209",COMBO,"GMHO:0000201,GMHO:0000212"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_scale,Baseline anhedonia scale,GMHO:0000212,measurement scale at baseline,A measurement scale used to measure baseline data in a study.,measurement scale,Intervention population,"GMHO:0000131,GMHO:0000209",COMBO,"GMHO:0000201,GMHO:0000212"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_direction,Baseline anxiety scale directionality,GMHO:0000212,measurement scale at baseline,A measurement scale used to measure baseline data in a study.,measurement scale,Intervention population,"GMHO:0000143,GMHO:0000209",COMBO,"GMHO:0000202,GMHO:0000212"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,reward_baseline_direction,Baseline reward sensitivity scale directionality,GMHO:0000212,measurement scale at baseline,A measurement scale used to measure baseline data in a study.,measurement scale,Intervention population,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,reward_baseline_scale,Baseline reward sensitivity scale,GMHO:0000212,measurement scale at baseline,A measurement scale used to measure baseline data in a study.,measurement scale,Intervention population,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_direction,Followup anhedonia scale directionality,GMHO:0000205,measurement scale at followup,A measurement scale used to measure followup data in a study.,measurement scale,Intervention outcomes and spillover effects,"GMHO:0000131,GMHO:0000204",COMBO,"GMHO:0000201,GMHO:0000205"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_scale,Followup anhedonia scale,GMHO:0000205,measurement scale at followup,A measurement scale used to measure followup data in a study.,measurement scale,Intervention outcomes and spillover effects,"GMHO:0000131,GMHO:0000204",COMBO,"GMHO:0000201,GMHO:0000205"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_direction,Followup anxiety scale directionality,GMHO:0000205,measurement scale at followup,A measurement scale used to measure followup data in a study.,measurement scale,Intervention outcomes and spillover effects,"GMHO:0000143,GMHO:0000204",COMBO,"GMHO:0000202,GMHO:0000205"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_scale,Followup anxiety scale,GMHO:0000205,measurement scale at followup,A measurement scale used to measure followup data in a study.,measurement scale,Intervention outcomes and spillover effects,"GMHO:0000143,GMHO:0000204",COMBO,"GMHO:0000202,GMHO:0000205"
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,reward_followup_direction,Followup reward sensitivity scale directionality,GMHO:0000205,measurement scale at followup,A measurement scale used to measure followup data in a study.,measurement scale,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,reward_followup_scale,Followup reward sensitivity scale,GMHO:0000205,measurement scale at followup,A measurement scale used to measure followup data in a study.,measurement scale,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,dose_delivered_min,Minimum drug dose delivered,STATO:0000150,minimum value,A data item which denotes the smallest value found in a dataset or resulting from a calculation.,statistic,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Intervention,dose_planned_min,Minimum planned drug dose,STATO:0000150,minimum value,A data item which denotes the smallest value found in a dataset or resulting from a calculation.,statistic,Intervention content and delivery,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,nausea,Nausea,GMHO:0000183,nausea following intervention,"A digestive system adverse event following intervention that has an outcome of nausea, a gastric discomfort associated with the inclination to vomit",digestive system adverse event following intervention,Intervention outcomes and spillover effects,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,female_n,Number of females in study,GMHO:0000213,number of female biological sex,The number of female biological sex in a population.,female biological sex population statistic,Intervention population,,,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anhedonia_baseline_n,Number of participants for whom baseline anhedonia was measured,GMHO:0000206,number of participants with measurement,Number of intervention participants for whom a measurement was made.,number of intervention participants,Intervention population,"GMHO:0000131,GMHO:0000209",No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anhedonia_followup_n,Number of participants for whom followup anhedonia was measured,GMHO:0000206,number of participants with measurement,Number of intervention participants for whom a measurement was made.,number of intervention participants,Intervention outcomes and spillover effects,"GMHO:0000131,GMHO:0000204",No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,anxiety_baseline_n,Number of participants for whom baseline anxiety was measured,GMHO:0000206,number of participants with measurement,Number of intervention participants for whom a measurement was made.,number of intervention participants,Intervention population,"GMHO:0000143,GMHO:0000209",No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Outcomes,anxiety_followup_n,Number of participants for whom followup anxiety was measured,GMHO:0000206,number of participants with measurement,Number of intervention participants for whom a measurement was made.,number of intervention participants,Intervention outcomes and spillover effects,"GMHO:0000143,GMHO:0000204",No Combo,
LSR1_anhedonia_H/data/human/df_amended_20240430.csv,,1,Population,reward_baseline_n,Number of participants for whom baseline reward sensitivity was measured,GMHO:0000206,number of participants with measurement,Number of intervention participants for whom a measurement was made.,number of intervention participants,Intervention population,,,
